,model,link,price,depreciation,reg_date,mileage,road_tax,coe,eng_cap,curb_weight,manufactured,transmission,omv,power,num_owners,type,category
2302,Chevrolet Orlando 1.4A Turbo LS,info.php?ID=952196&DL=1360,"$52,800 ","                                $7,940 /yrView models with similar depre ",11-Aug-2016(5yrs 7mths 25days COE left)                            ,"                                        65,600 km (15.1k /yr)                                     ",                                    	$604 /yr,"$57,501","1,362 cc                                    ","                                    1,650 kg                                    ",2016,Auto,"$15,878",103.0 kW (138 bhp),3,MPV,"Category
PARF Car "
2303,Mitsubishi ASX 2.0A,info.php?ID=951186&DL=2291,"$61,800 ","                                $8,910 /yrView models with similar depre ",17-Jan-2017(6yrs 1mth  COE left)                            ,"                                        72,388 km (18.5k /yr)                                     ","                                    	$1,210 /yr","$51,109","1,998 cc                                    ","                                    1,355 kg                                    ",2015,Auto,"$15,089",110.0 kW (147 bhp),1,SUV,"Category
PARF Car, Premium Ad Car "
2304,Volkswagen Scirocco 1.4A TSI (New 5-yr COE),info.php?ID=951001&DL=2049,"$39,800 ","                                $7,960 /yr                            ",07-Jan-2011(5yrs  COE left)                            ,"                                        88,000 km (8.8k /yr)                                     ",                                    	$620 /yr,N.A.,"1,390 cc                                    ","                                    1,285 kg                                    ",2010,Auto,"$24,811",118.0 kW (158 bhp),2,Sports Car,"Category
COE Car, Premium Ad Car, Low Mileage Car "
2305,Mitsubishi Lancer EX 1.5A GLS Sports (COE till 02/2024),info.php?ID=950990&DL=3642,"$20,988 ","                                $6,580 /yr                            ",25-Feb-2009(3yrs 2mths 8days COE left)                            ,"                                        119,000 km (10.1k /yr)                                     ",                                    	$821 /yr,"$12,864","1,499 cc                                    ","                                    1,313 kg                                    ",2009,Auto,"$20,676",80.0 kW (107 bhp),5,Mid-Sized Sedan,"Category
COE Car "
2306,Citroen C4 Picasso Diesel 1.6A BlueHDi,info.php?ID=950937&DL=1001,"$46,800 ","                                $8,380 /yrView models with similar depre ",18-Dec-2015(5yrs 1day COE left)                            ,"                                        82,448 km (16.5k /yr)                                     ","                                    	$1,144 /yr","$56,989","1,560 cc                                    ","                                    1,320 kg                                    ",2015,Auto,"$23,357",88.0 kW (118 bhp),1,MPV,"Category
PARF Car, Premium Ad Car "
2307,Mercedes-Benz C-Class C200 Coupe Mild Hybrid AMG Line Premium Plus,info.php?ID=950888&DL=2633,N.A ,                                N.A                            ,05-Dec-2019(8yrs 11mths 18days COE left)                            ,                                        N.A.                                     ,                                    	$684 /yr,"$41,001","1,497 cc                                    ","                                    1,660 kg                                    ",2018,Auto,"$56,994",145.0 kW (194 bhp),1,Sports Car,"Category
PARF Car, Hybrid Cars "
2308,BMW 2 Series 218i Gran Coupe Luxury,info.php?ID=950768&DL=1229,"$135,800 ","                                $11,550 /yrView models with similar depre ",27-Nov-2020(9yrs 11mths 10days COE left)                            ,                                        37 km                                     ,                                    	$684 /yr,"$39,889","1,499 cc                                    ","                                    1,375 kg                                    ",2020,Auto,"$35,546",103.0 kW (138 bhp),1,Luxury Sedan,"Category
PARF Car, Almost New Car, Premium Ad Car, Low Mileage Car "
2309,Hyundai Avante 1.6A GLS Elite (OPC),info.php?ID=950241&DL=2425,"$69,888 ","                                $6,670 /yrView models with similar depre ",01-Feb-2020(9yrs 1mth 15days COE left)                            ,"                                        7,212 km                                     ",                                    	$238 /yr,"$18,010","1,591 cc                                    ","                                    1,345 kg                                    ",2019,Auto,"$18,025",93.8 kW (125 bhp),1,Mid-Sized Sedan,"Category
OPC Car, PARF Car, Almost New Car, Premium Ad Car, Low Mileage Car "
2310,Lexus ES250 Executive Sunroof,info.php?ID=949044&DL=1400,N.A ,                                N.A                            ,23-Jan-2017(6yrs 1mth 6days COE left)                            ,                                        N.A.                                     ,"                                    	$1,792 /yr","$52,807","2,494 cc                                    ","                                    1,615 kg                                    ",2016,Auto,"$36,195",135.0 kW (181 bhp),1,Luxury Sedan,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
2311,Maserati GranTurismo 4.2A (New 10-yr COE),info.php?ID=948550&DL=3405,"$148,000 ","                                $14,790 /yr                            ",01-Feb-2011(10yrs  COE left)                            ,"                                        90,000 km (9.1k /yr)                                     ","                                    	$4,332 /yr",N.A.,"4,244 cc                                    ","                                    1,880 kg                                    ",2011,Auto,"$101,793",298.0 kW (399 bhp),3,Sports Car,"Category
COE Car, Low Mileage Car "
